,nu,kernel,gamma,metrics,f1_score_avg,accuracy_avg
10,0.4,poly,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5831259189440773,0.7369097333761644
11,0.4,poly,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5345320923654041,0.7170200235571259
12,0.4,rbf,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.52367905625659,0.7086164718673552
13,0.4,rbf,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5076592092100328,0.6998990408884402
14,0.4,sigmoid,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5183642815372071,0.6866902237926973
15,0.4,sigmoid,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.48596651394113166,0.6749116607773852
16,0.6,linear,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5139492174662178,0.691748077322802
17,0.6,linear,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5388227317107388,0.7067137809187279
18,0.6,poly,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5607901868608075,0.719918169983262
19,0.6,poly,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5661624422236494,0.7090106007067137
