,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
13,2,10,0.005,"[[0.8921933085501859, 0.8733624219894409, 231, 229], [0.9367088607594937, 0.9344978332519531, 460, 229], [0.6091954022988506, 0.7030567526817322, 689, 229], [0.7956204379562044, 0.7554585337638855, 918, 229], [0.802030456852792, 0.8296943306922913, 1147, 229]]",0.8071496932835054,0.8192139744758606
14,2,10,0.01,"[[0.931726907630522, 0.9257642030715942, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.7814569536423842, 0.7117903828620911, 689, 229], [0.7045454545454546, 0.7729257345199585, 918, 229], [0.7772020725388601, 0.8122270703315735, 1147, 229]]",0.8271218708917832,0.83231440782547
15,2,30,0.001,"[[0.9105058365758755, 0.8995633125305176, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.5421686746987951, 0.6681222915649414, 689, 229], [0.776978417266187, 0.7292576432228088, 918, 229], [0.8121827411167513, 0.8384279608726501, 1147, 229]]",0.7965027271518608,0.8148471713066101
16,2,30,0.005,"[[0.9132075471698112, 0.8995633125305176, 231, 229], [0.9327731092436974, 0.9301310181617737, 460, 229], [0.7919463087248322, 0.7292576432228088, 689, 229], [0.7838827838827838, 0.7423580884933472, 918, 229], [0.29411764705882354, 0.5807860493659973, 1147, 229]]",0.7431854792159897,0.7764192223548889
17,2,30,0.01,"[[0.8482758620689654, 0.807860255241394, 231, 229], [0.9068825910931174, 0.8995633125305176, 460, 229], [0.7041420118343196, 0.5633187890052795, 689, 229], [0.7128712871287128, 0.6200873255729675, 918, 229], [0.8745247148288974, 0.8558952212333679, 1147, 229]]",0.8093392933908025,0.7493449807167053
18,2,50,0.001,"[[0.8864468864468864, 0.864628791809082, 231, 229], [0.9149797570850202, 0.9082969427108765, 460, 229], [0.74375, 0.6419214010238647, 689, 229], [0.7100977198697068, 0.6113536953926086, 918, 229], [0.7897435897435898, 0.8209607005119324, 1147, 229]]",0.8090035906290407,0.7694323062896729
19,2,50,0.005,"[[0.923076923076923, 0.9126637578010559, 231, 229], [0.9292035398230089, 0.9301310181617737, 460, 229], [0.8239436619718309, 0.7816593647003174, 689, 229], [0.8990825688073394, 0.903930127620697, 918, 229], [0.7733333333333333, 0.7030567526817322, 1147, 229]]",0.8697280054024871,0.8462882041931152
20,2,50,0.01,"[[0.8761061946902655, 0.8777292370796204, 231, 229], [0.8976377952755905, 0.8864628672599792, 460, 229], [0.7300613496932515, 0.6157205104827881, 689, 229], [0.7741935483870966, 0.8165938854217529, 918, 229], [0.7388535031847133, 0.6419214010238647, 1147, 229]]",0.8033704782461836,0.7676855802536011
21,2,70,0.001,"[[0.9333333333333333, 0.9257642030715942, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.47133757961783446, 0.6375545859336853, 689, 229], [0.7785714285714286, 0.7292576432228088, 918, 229], [0.9579831932773109, 0.9563318490982056, 1147, 229]]",0.8163807001803203,0.8375545859336853
22,2,70,0.005,"[[0.9145299145299145, 0.9126637578010559, 231, 229], [0.9432314410480349, 0.943231463432312, 460, 229], [0.7972972972972974, 0.7379912734031677, 689, 229], [0.828125, 0.807860255241394, 918, 229], [0.91324200913242, 0.9170305728912354, 1147, 229]]",0.8792851324015334,0.863755464553833
23,2,70,0.01,"[[0.8810572687224669, 0.8820960521697998, 231, 229], [0.859903381642512, 0.8733624219894409, 460, 229], [0.7972972972972974, 0.7379912734031677, 689, 229], [0.8153846153846154, 0.7903929948806763, 918, 229], [0.7227414330218067, 0.6113536953926086, 1147, 229]]",0.8152767992137397,0.7790392875671387
24,3,10,0.001,"[[0.8991596638655462, 0.8951964974403381, 231, 229], [0.9446808510638298, 0.943231463432312, 460, 229], [0.8041237113402061, 0.751091718673706, 689, 229], [0.8153846153846154, 0.7903929948806763, 918, 229], [0.9356223175965666, 0.9344978332519531, 1147, 229]]",0.8797942318501528,0.8628821015357971
25,3,10,0.005,"[[0.9296875000000001, 0.9213973879814148, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.7843137254901961, 0.807860255241394, 689, 229], [0.7956204379562044, 0.7554585337638855, 918, 229], [0.9446808510638298, 0.943231463432312, 1147, 229]]",0.8789960961223852,0.8733624577522278
26,3,10,0.01,"[[0.8745519713261648, 0.847161591053009, 231, 229], [0.901185770750988, 0.8908296823501587, 460, 229], [0.7840531561461794, 0.7161571979522705, 689, 229], [0.9051724137931034, 0.903930127620697, 918, 229], [0.95, 0.9475982785224915, 1147, 229]]",0.8829926624032872,0.8611353754997253
