,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
10,1,70,0.005,"[[0.32679738562091504, 0.622710645198822, 278, 273], [0.8404907975460123, 0.8095238208770752, 551, 273], [0.7012987012987013, 0.7472527623176575, 824, 273], [0.965079365079365, 0.9597069621086121, 1097, 273], [0.9083665338645418, 0.9157509207725525, 1370, 273]]",0.7484065566819071,0.8109890222549438
11,1,70,0.01,"[[0.7450980392156863, 0.8095238208770752, 278, 273], [0.6435643564356436, 0.7362637519836426, 551, 273], [0.8108108108108109, 0.7435897588729858, 824, 273], [0.9708737864077669, 0.9670329689979553, 1097, 273], [0.9779411764705882, 0.9780219793319702, 1370, 273]]",0.8296576338680992,0.8468864560127258
12,2,10,0.001,"[[0.661498708010336, 0.5201465487480164, 278, 273], [0.8931297709923663, 0.8974359035491943, 551, 273], [0.9300699300699301, 0.9267399311065674, 824, 273], [0.9341317365269461, 0.9194139242172241, 1097, 273], [0.9438202247191011, 0.9450549483299255, 1370, 273]]",0.8725300740637358,0.8417582511901855
13,2,10,0.005,"[[0.6918918918918919, 0.5824176073074341, 278, 273], [0.9277566539923954, 0.930402934551239, 551, 273], [0.9290780141843972, 0.9267399311065674, 824, 273], [0.936936936936937, 0.9230769276618958, 1097, 273], [0.9433962264150944, 0.9450549483299255, 1370, 273]]",0.8858119446841431,0.8615384697914124
14,2,10,0.01,"[[0.750733137829912, 0.6886447072029114, 278, 273], [0.9605734767025089, 0.9597069621086121, 551, 273], [0.962962962962963, 0.9597069621086121, 824, 273], [0.9425981873111782, 0.930402934551239, 1097, 273], [0.85625, 0.831501841545105, 1370, 273]]",0.8946235529613125,0.8739926815032959
15,2,30,0.001,"[[0.824, 0.8388278484344482, 278, 273], [0.369047619047619, 0.6117216348648071, 551, 273], [0.9295774647887323, 0.9267399311065674, 824, 273], [0.8881118881118881, 0.8827838897705078, 1097, 273], [0.9624060150375939, 0.9633699655532837, 1370, 273]]",0.7946285973971667,0.8446886539459229
16,2,30,0.005,"[[0.8763250883392226, 0.8717948794364929, 278, 273], [0.9166666666666666, 0.9194139242172241, 551, 273], [0.8670520231213872, 0.831501841545105, 824, 273], [0.910958904109589, 0.9047619104385376, 1097, 273], [0.9621212121212122, 0.9633699655532837, 1370, 273]]",0.9066247788716154,0.8981685042381287
17,2,30,0.01,"[[0.7655502392344498, 0.8205128312110901, 278, 273], [0.5654450261780105, 0.6959707140922546, 551, 273], [0.9644012944983819, 0.9597069621086121, 824, 273], [0.9710610932475884, 0.9670329689979553, 1097, 273], [0.9699248120300751, 0.970695972442627, 1370, 273]]",0.847276493037701,0.8827838897705078
18,2,50,0.001,"[[0.8205128205128205, 0.7948718070983887, 278, 273], [0.5502645502645502, 0.6886447072029114, 551, 273], [0.9366197183098592, 0.9340659379959106, 824, 273], [0.968944099378882, 0.9633699655532837, 1097, 273], [0.9212598425196851, 0.9267399311065674, 1370, 273]]",0.8395202061971594,0.8615384697914124
19,2,50,0.005,"[[0.7326732673267327, 0.8021978139877319, 278, 273], [0.8810289389067524, 0.8644688725471497, 551, 273], [0.976271186440678, 0.9743589758872986, 824, 273], [0.9719626168224299, 0.9670329689979553, 1097, 273], [0.9256756756756757, 0.9194139242172241, 1370, 273]]",0.8975223370344537,0.9054945111274719
