,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
10,1,70,0.005,"[[0.7654320987654321, 0.791208803653717, 278, 273], [0.807017543859649, 0.8388278484344482, 551, 273], [0.8921933085501857, 0.8937729001045227, 824, 273], [0.9288389513108615, 0.930402934551239, 1097, 273], [0.39263803680981596, 0.6373626589775085, 1370, 273]]",0.7572239878591888,0.8183150291442871
11,1,70,0.01,"[[0.821917808219178, 0.8095238208770752, 278, 273], [0.8397435897435896, 0.8168498277664185, 551, 273], [0.7943661971830985, 0.732600748538971, 824, 273], [0.888888888888889, 0.8827838897705078, 1097, 273], [0.7580174927113703, 0.6959707140922546, 1370, 273]]",0.820586795349225,0.7875458002090454
12,2,10,0.001,"[[0.7219917012448132, 0.7545787692070007, 278, 273], [0.8906249999999999, 0.8974359035491943, 551, 273], [0.8812500000000001, 0.860805869102478, 824, 273], [0.7768115942028985, 0.7179487347602844, 1097, 273], [0.44970414201183434, 0.6593406796455383, 1370, 273]]",0.7440764874919091,0.7780219912528992
13,2,10,0.005,"[[0.7857142857142857, 0.8021978139877319, 278, 273], [0.8941176470588236, 0.901098906993866, 551, 273], [0.8837209302325583, 0.8717948794364929, 824, 273], [0.7196261682242991, 0.7802197933197021, 1097, 273], [0.8431372549019607, 0.8241758346557617, 1370, 273]]",0.8252632572263854,0.8358974456787109
14,2,10,0.01,"[[0.8046875, 0.8168498277664185, 278, 273], [0.9062500000000001, 0.9120879173278809, 551, 273], [0.9044117647058824, 0.9047619104385376, 824, 273], [0.9045936395759717, 0.901098906993866, 1097, 273], [0.7624633431085045, 0.7032967209815979, 1370, 273]]",0.8564812494780718,0.8476190567016602
15,2,30,0.001,"[[0.7155172413793104, 0.7582417726516724, 278, 273], [0.732394366197183, 0.791208803653717, 551, 273], [0.9121621621621621, 0.9047619104385376, 824, 273], [0.8906250000000001, 0.8974359035491943, 1097, 273], [0.75, 0.6849817037582397, 1370, 273]]",0.8001397539477312,0.8073260188102722
16,2,30,0.005,"[[0.7123287671232877, 0.7692307829856873, 278, 273], [0.8535564853556484, 0.8717948794364929, 551, 273], [0.8501529051987768, 0.8205128312110901, 824, 273], [0.5863874345549739, 0.7106227278709412, 1097, 273], [0.8403908794788274, 0.8205128312110901, 1370, 273]]",0.7685632943423029,0.7985348105430603
17,2,30,0.01,"[[0.7736625514403292, 0.7985348105430603, 278, 273], [0.8904109589041095, 0.8827838897705078, 551, 273], [0.8561872909698997, 0.8424908518791199, 824, 273], [0.7790697674418604, 0.721611738204956, 1097, 273], [0.6770833333333334, 0.5457875728607178, 1370, 273]]",0.7952827804179065,0.7582417726516724
18,2,50,0.001,"[[0.5870646766169153, 0.6959707140922546, 278, 273], [0.8861788617886179, 0.8974359035491943, 551, 273], [0.7136563876651983, 0.761904776096344, 824, 273], [0.7790697674418604, 0.721611738204956, 1097, 273], [0.5989304812834224, 0.7252747416496277, 1370, 273]]",0.7129800349592029,0.7604395747184753
19,2,50,0.005,"[[0.8283582089552239, 0.831501841545105, 278, 273], [0.8976377952755905, 0.9047619104385376, 551, 273], [0.8717948717948719, 0.8534798622131348, 824, 273], [0.8724279835390947, 0.8864468932151794, 1097, 273], [0.732394366197183, 0.6520146727561951, 1370, 273]]",0.8405226451523928,0.8256410360336304
20,2,50,0.01,"[[0.8108108108108109, 0.7948718070983887, 278, 273], [0.8904109589041095, 0.8827838897705078, 551, 273], [0.6009389671361502, 0.6886447072029114, 824, 273], [0.7869822485207101, 0.7362637519836426, 1097, 273], [0.43113772455089816, 0.6520146727561951, 1370, 273]]",0.7040561419845357,0.7509157657623291
21,2,70,0.001,"[[0.6666666666666667, 0.7399267554283142, 278, 273], [0.891566265060241, 0.901098906993866, 551, 273], [0.7248908296943233, 0.7692307829856873, 824, 273], [0.5714285714285714, 0.7032967209815979, 1097, 273], [0.8590604026845637, 0.8461538553237915, 1370, 273]]",0.7427225471068731,0.7919414043426514
22,2,70,0.005,"[[0.8163265306122448, 0.8021978139877319, 278, 273], [0.8800000000000001, 0.8901098966598511, 551, 273], [0.8754208754208753, 0.8644688725471497, 824, 273], [0.4831460674157303, 0.66300368309021, 1097, 273], [0.7794561933534744, 0.732600748538971, 1370, 273]]",0.7668699333604649,0.7904762029647827
