,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
33,3,70,0.001,"[[0.7850467289719627, 0.8083333373069763, 124, 120], [0.8793103448275863, 0.8833333253860474, 244, 120], [0.9572649572649573, 0.9583333134651184, 364, 120], [0.832116788321168, 0.8083333373069763, 484, 120], [0.9557522123893805, 0.9583333134651184, 604, 120]]",0.8818982063550109,0.8833333253860474
34,3,70,0.005,"[[0.8356164383561644, 0.800000011920929, 124, 120], [0.8666666666666666, 0.8333333134651184, 244, 120], [0.9586776859504132, 0.9583333134651184, 364, 120], [0.7862068965517242, 0.7416666746139526, 484, 120], [0.8870967741935484, 0.8833333253860474, 604, 120]]",0.8668528923437032,0.8433333277702332
35,3,70,0.01,"[[0.8730158730158731, 0.8666666746139526, 124, 120], [0.9481481481481482, 0.9416666626930237, 244, 120], [0.855072463768116, 0.8333333134651184, 364, 120], [0.8270676691729324, 0.8083333373069763, 484, 120], [0.5526315789473685, 0.7166666388511658, 604, 120]]",0.8111871466104876,0.8333333253860473
36,4,10,0.001,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.9133858267716536, 0.9083333611488342, 244, 120], [0.9666666666666667, 0.9666666388511658, 364, 120], [0.763888888888889, 0.7166666388511658, 484, 120], [0.88, 0.875, 604, 120]]",0.8424931944982287,0.7983333230018616
37,4,10,0.005,"[[0.8732394366197183, 0.8500000238418579, 124, 120], [0.8495575221238938, 0.8583333492279053, 244, 120], [0.9174311926605504, 0.925000011920929, 364, 120], [0.9122807017543859, 0.9166666865348816, 484, 120], [0.8775510204081634, 0.8999999761581421, 604, 120]]",0.8860119747133425,0.8900000095367432
38,4,10,0.01,"[[0.7809523809523808, 0.8083333373069763, 124, 120], [0.9606299212598426, 0.9583333134651184, 244, 120], [0.9007633587786259, 0.8916666507720947, 364, 120], [0.9043478260869565, 0.9083333611488342, 484, 120], [0.7499999999999999, 0.8166666626930237, 604, 120]]",0.8593386974155612,0.8766666650772095
39,4,30,0.001,"[[0.8467153284671532, 0.824999988079071, 124, 120], [0.9219858156028369, 0.9083333611488342, 244, 120], [0.7708333333333333, 0.8166666626930237, 364, 120], [0.9026548672566371, 0.9083333611488342, 484, 120], [0.9243697478991597, 0.925000011920929, 604, 120]]",0.8733118185118242,0.8766666769981384
40,4,30,0.005,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.7027027027027027, 0.5416666865348816, 244, 120], [0.659217877094972, 0.49166667461395264, 364, 120], [0.6440677966101694, 0.4749999940395355, 484, 120], [0.6285714285714286, 0.4583333432674408, 604, 120]]",0.6646168790286415,0.4983333349227905
41,4,30,0.01,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.7027027027027027, 0.5416666865348816, 244, 120], [0.659217877094972, 0.49166667461395264, 364, 120], [0.6440677966101694, 0.4749999940395355, 484, 120], [0.6285714285714286, 0.4583333432674408, 604, 120]]",0.6646168790286415,0.4983333349227905
42,4,50,0.001,"[[0.8472222222222222, 0.8166666626930237, 124, 120], [0.9014084507042254, 0.8833333253860474, 244, 120], [0.9666666666666667, 0.9666666388511658, 364, 120], [0.9380530973451328, 0.9416666626930237, 484, 120], [0.8333333333333333, 0.8166666626930237, 604, 120]]",0.897336754054316,0.8849999904632568
43,4,50,0.005,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.8024691358024691, 0.7333333492279053, 244, 120], [0.659217877094972, 0.49166667461395264, 364, 120], [0.6440677966101694, 0.4749999940395355, 484, 120], [0.0, 0.5416666865348816, 604, 120]]",0.5588558799343091,0.5533333361148834
44,4,50,0.01,"[[0.8266666666666668, 0.7833333611488342, 124, 120], [0.9523809523809524, 0.949999988079071, 244, 120], [0.9147286821705426, 0.9083333611488342, 364, 120], [0.8461538461538461, 0.8333333134651184, 484, 120], [0.9818181818181818, 0.9833333492279053, 604, 120]]",0.9043496658380379,0.8916666746139527
45,4,70,0.001,"[[0.8709677419354839, 0.8666666746139526, 124, 120], [0.7962962962962964, 0.8166666626930237, 244, 120], [0.9491525423728814, 0.949999988079071, 364, 120], [0.859375, 0.8500000238418579, 484, 120], [0.9719626168224299, 0.9750000238418579, 604, 120]]",0.8895508394854182,0.8916666746139527
46,4,70,0.005,"[[0.847457627118644, 0.8500000238418579, 124, 120], [0.920863309352518, 0.9083333611488342, 244, 120], [0.9291338582677166, 0.925000011920929, 364, 120], [0.8849557522123894, 0.8916666507720947, 484, 120], [0.9108910891089108, 0.925000011920929, 604, 120]]",0.8986603272120359,0.9000000119209289
47,4,70,0.01,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.7027027027027027, 0.5416666865348816, 244, 120], [0.659217877094972, 0.49166667461395264, 364, 120], [0.6440677966101694, 0.4749999940395355, 484, 120], [0.6285714285714286, 0.4583333432674408, 604, 120]]",0.6646168790286415,0.4983333349227905
