,Unnamed: 0,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
10,10.0,1,70,0.005,"[[0.7391304347826089, 0.693617045879364, 237, 235], [0.8472906403940887, 0.8680850863456726, 472, 235], [0.933852140077821, 0.9276595711708069, 707, 235], [0.9379310344827586, 0.9234042763710022, 942, 235], [0.9747899159663866, 0.9744681119918823, 1177, 235]]",0.8865988331407328,0.8774468183517456
11,11.0,1,70,0.01,"[[0.7857142857142857, 0.7191489338874817, 237, 235], [0.888888888888889, 0.8765957355499268, 472, 235], [0.9590163934426229, 0.957446813583374, 707, 235], [0.9264705882352942, 0.914893627166748, 942, 235], [0.924901185770751, 0.9191489219665527, 1177, 235]]",0.8969982684103686,0.8774468064308166
12,12.0,2,10,0.001,"[[0.7038123167155425, 0.5702127814292908, 237, 235], [0.8833333333333334, 0.8808510899543762, 472, 235], [0.9282700421940928, 0.9276595711708069, 707, 235], [0.9492753623188407, 0.9404255151748657, 942, 235], [0.9508196721311475, 0.9489361643791199, 1177, 235]]",0.8831021453385913,0.8536170244216919
13,13.0,2,10,0.005,"[[0.7197640117994101, 0.5957446694374084, 237, 235], [0.9427312775330396, 0.9446808695793152, 472, 235], [0.5697674418604651, 0.6851063966751099, 707, 235], [0.8318042813455658, 0.7659574747085571, 942, 235], [0.9606986899563319, 0.9617021083831787, 1177, 235]]",0.8049531404989626,0.7906383037567138
14,14.0,2,10,0.01,"[[0.7031700288184439, 0.5617021322250366, 237, 235], [0.9274193548387097, 0.9234042763710022, 472, 235], [0.954356846473029, 0.9531915187835693, 707, 235], [0.9503546099290779, 0.9404255151748657, 942, 235], [0.943089430894309, 0.9404255151748657, 1177, 235]]",0.895678054190714,0.8638297915458679
15,15.0,2,30,0.001,"[[0.6934306569343065, 0.6425532102584839, 237, 235], [0.9181818181818182, 0.9234042763710022, 472, 235], [0.9370078740157479, 0.9319148659706116, 707, 235], [0.8947368421052632, 0.8638297915458679, 942, 235], [0.9663865546218487, 0.9659574627876282, 1177, 235]]",0.8819487491717968,0.8655319213867188
16,16.0,2,30,0.005,"[[0.7072463768115942, 0.5702127814292908, 237, 235], [0.9243027888446216, 0.9191489219665527, 472, 235], [0.7512690355329951, 0.7914893627166748, 707, 235], [0.9047619047619048, 0.8808510899543762, 942, 235], [0.983050847457627, 0.9829787015914917, 1177, 235]]",0.8541261906817486,0.8289361715316772
17,17.0,2,30,0.01,"[[0.7770700636942676, 0.7021276354789734, 237, 235], [0.9023255813953488, 0.9106382727622986, 472, 235], [0.9077490774907748, 0.8936170339584351, 707, 235], [0.8634686346863468, 0.8425531983375549, 942, 235], [0.9464285714285715, 0.9489361643791199, 1177, 235]]",0.879408385739062,0.8595744609832764
18,18.0,2,50,0.001,"[[0.7072463768115942, 0.5702127814292908, 237, 235], [0.8540145985401459, 0.8297872543334961, 472, 235], [0.8065573770491804, 0.7489361763000488, 707, 235], [0.9338235294117647, 0.9234042763710022, 942, 235], [0.9469387755102041, 0.9446808695793152, 1177, 235]]",0.8497161314645778,0.8034042716026306
19,19.0,2,50,0.005,"[[0.7052023121387282, 0.5659574270248413, 237, 235], [0.8602941176470589, 0.8382978439331055, 472, 235], [0.8450704225352113, 0.8595744967460632, 707, 235], [0.9077490774907748, 0.8936170339584351, 942, 235], [0.9321266968325792, 0.936170220375061, 1177, 235]]",0.8500885253288704,0.8187234044075012
20,20.0,2,50,0.01,"[[0.6969696969696969, 0.6595744490623474, 237, 235], [0.8854961832061069, 0.8723404407501221, 472, 235], [0.8715596330275228, 0.8808510899543762, 707, 235], [0.8774193548387098, 0.8382978439331055, 942, 235], [0.9551020408163265, 0.9531915187835693, 1177, 235]]",0.8573093817716726,0.8408510684967041
