,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
12,2,10,0.001,"[[0.7156862745098039, 0.7467249035835266, 231, 229], [0.9173553719008265, 0.9126637578010559, 460, 229], [0.7878787878787878, 0.7248908281326294, 689, 229], [0.8688524590163933, 0.8602620363235474, 918, 229], [0.8243727598566308, 0.7860261797904968, 1147, 229]]",0.8228291306324884,0.8061135411262512
13,2,10,0.005,"[[0.9218749999999999, 0.9126637578010559, 231, 229], [0.9487179487179487, 0.9475982785224915, 460, 229], [0.7946127946127944, 0.7336244583129883, 689, 229], [0.8981481481481483, 0.903930127620697, 918, 229], [0.6966966966966968, 0.5589519739151001, 1147, 229]]",0.8520101176351176,0.8113537192344665
14,2,10,0.01,"[[0.8692579505300354, 0.8384279608726501, 231, 229], [0.8712121212121211, 0.8515284061431885, 460, 229], [0.44155844155844154, 0.624454140663147, 689, 229], [0.908256880733945, 0.9126637578010559, 918, 229], [0.8529411764705882, 0.8689956068992615, 1147, 229]]",0.7886453141010262,0.8192139744758606
15,2,30,0.001,"[[0.852017937219731, 0.8558952212333679, 231, 229], [0.9367088607594937, 0.9344978332519531, 460, 229], [0.7788778877887789, 0.7074235677719116, 689, 229], [0.8458498023715415, 0.8296943306922913, 918, 229], [0.760655737704918, 0.6812227368354797, 1147, 229]]",0.8348220451688926,0.8017467379570007
16,2,30,0.005,"[[0.8859649122807017, 0.8864628672599792, 231, 229], [0.9074074074074073, 0.9126637578010559, 460, 229], [0.7460815047021944, 0.6462882161140442, 689, 229], [0.7058823529411764, 0.6069868803024292, 918, 229], [0.9311740890688259, 0.9257642030715942, 1147, 229]]",0.8353020532800611,0.7956331849098206
17,2,30,0.01,"[[0.8805970149253731, 0.8602620363235474, 231, 229], [0.9446808510638298, 0.943231463432312, 460, 229], [0.8634686346863469, 0.8384279608726501, 689, 229], [0.6783625730994153, 0.7598253488540649, 918, 229], [0.7643979057591623, 0.8034934401512146, 1147, 229]]",0.8263013959068255,0.8410480499267579
18,2,50,0.001,"[[0.9180327868852458, 0.9126637578010559, 231, 229], [0.91324200913242, 0.9170305728912354, 460, 229], [0.7783251231527093, 0.8034934401512146, 689, 229], [0.8442211055276381, 0.864628791809082, 918, 229], [0.9579831932773109, 0.9563318490982056, 1147, 229]]",0.8823608435950648,0.8908296823501587
19,2,50,0.005,"[[0.8424657534246576, 0.7991266250610352, 231, 229], [0.9262295081967213, 0.9213973879814148, 460, 229], [0.8013698630136986, 0.7467249035835266, 689, 229], [0.6546546546546547, 0.4978165924549103, 918, 229], [0.888030888030888, 0.8733624219894409, 1147, 229]]",0.8225501334641241,0.7676855862140656
20,2,50,0.01,"[[0.9189189189189189, 0.9082969427108765, 231, 229], [0.9140271493212669, 0.9170305728912354, 460, 229], [0.8268551236749115, 0.7860261797904968, 689, 229], [0.1487603305785124, 0.5502183437347412, 918, 229], [0.7365079365079366, 0.6375545859336853, 1147, 229]]",0.7090138918003092,0.759825325012207
21,2,70,0.001,"[[0.9022556390977443, 0.8864628672599792, 231, 229], [0.8735632183908045, 0.8558952212333679, 460, 229], [0.7712418300653595, 0.6943231225013733, 689, 229], [0.7278911564625851, 0.6506550312042236, 918, 229], [0.8787878787878788, 0.8602620363235474, 1147, 229]]",0.8307479445608743,0.7895196557044983
