,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
30,3,50,0.001,"[[0.7928571428571429, 0.7875458002090454, 278, 273], [0.9025270758122744, 0.901098906993866, 551, 273], [0.84472049689441, 0.8168498277664185, 824, 273], [0.7142857142857143, 0.7802197933197021, 1097, 273], [0.680628272251309, 0.553113579750061, 1370, 273]]",0.7870037404201702,0.7677655816078186
31,3,50,0.005,"[[0.8013937282229965, 0.791208803653717, 278, 273], [0.896551724137931, 0.901098906993866, 551, 273], [0.9246575342465754, 0.9194139242172241, 824, 273], [0.6836734693877551, 0.5457875728607178, 1097, 273], [0.6898395721925132, 0.5750916004180908, 1370, 273]]",0.7992232056375542,0.7465201616287231
32,3,50,0.01,"[[0.8244274809160307, 0.831501841545105, 278, 273], [0.7929515418502203, 0.8278388381004333, 551, 273], [0.8597560975609756, 0.831501841545105, 824, 273], [0.8828125, 0.8901098966598511, 1097, 273], [0.47674418604651164, 0.6703296899795532, 1370, 273]]",0.7673383612747476,0.8102564215660095
33,3,70,0.001,"[[0.6310679611650485, 0.721611738204956, 278, 273], [0.8853754940711462, 0.8937729001045227, 551, 273], [0.840909090909091, 0.8461538553237915, 824, 273], [0.8209876543209875, 0.7875458002090454, 1097, 273], [0.43113772455089816, 0.6520146727561951, 1370, 273]]",0.7218955850034343,0.7802197933197021
34,3,70,0.005,"[[0.8102189781021899, 0.8095238208770752, 278, 273], [0.8712871287128713, 0.8571428656578064, 551, 273], [0.7130434782608697, 0.7582417726516724, 824, 273], [0.8343949044585987, 0.8095238208770752, 1097, 273], [0.8897959183673468, 0.901098906993866, 1370, 273]]",0.8237480815803753,0.827106237411499
35,3,70,0.01,"[[0.8041958041958042, 0.7948718070983887, 278, 273], [0.8438818565400843, 0.8644688725471497, 551, 273], [0.8615384615384616, 0.8351648449897766, 824, 273], [0.5561497326203209, 0.6959707140922546, 1097, 273], [0.46783625730994155, 0.6666666865348816, 1370, 273]]",0.7067204224409225,0.7714285850524902
36,4,10,0.001,"[[0.6359447004608295, 0.7106227278709412, 278, 273], [0.8982456140350877, 0.8937729001045227, 551, 273], [0.7679324894514769, 0.7985348105430603, 824, 273], [0.8617363344051447, 0.8424908518791199, 1097, 273], [0.44970414201183434, 0.6593406796455383, 1370, 273]]",0.7227126560728746,0.7809523940086365
37,4,10,0.005,"[[0.8106060606060607, 0.8168498277664185, 278, 273], [0.8488745980707395, 0.8278388381004333, 551, 273], [0.9357142857142857, 0.9340659379959106, 824, 273], [0.6767676767676767, 0.5311355590820312, 1097, 273], [0.47674418604651164, 0.6703296899795532, 1370, 273]]",0.7497413614410547,0.7560439705848694
38,4,10,0.01,"[[0.7542372881355932, 0.7875458002090454, 278, 273], [0.8225108225108225, 0.8498168587684631, 551, 273], [0.8825396825396825, 0.8644688725471497, 824, 273], [0.7034120734908137, 0.5860806107521057, 1097, 273], [0.4216867469879517, 0.6483516693115234, 1370, 273]]",0.7168773227329728,0.7472527623176575
39,4,30,0.001,"[[0.6237623762376238, 0.721611738204956, 278, 273], [0.7946428571428571, 0.831501841545105, 551, 273], [0.8999999999999999, 0.8974359035491943, 824, 273], [0.6784810126582279, 0.5347985625267029, 1097, 273], [0.6766169154228856, 0.761904776096344, 1370, 273]]",0.7347006322923189,0.7494505643844604
