,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
15,2,30,0.001,"[[0.7087087087087087, 0.5872340202331543, 237, 235], [0.9173553719008264, 0.914893627166748, 472, 235], [0.943089430894309, 0.9404255151748657, 707, 235], [0.9309090909090909, 0.9191489219665527, 942, 235], [0.9279999999999999, 0.9234042763710022, 1177, 235]]",0.8856125204825869,0.8570212721824646
16,2,30,0.005,"[[0.7011494252873562, 0.5574468374252319, 237, 235], [0.9491525423728814, 0.9489361643791199, 472, 235], [0.822742474916388, 0.7744680643081665, 707, 235], [0.9565217391304348, 0.9489361643791199, 942, 235], [0.9696969696969696, 0.9702127575874329, 1177, 235]]",0.8798526302808061,0.8399999976158142
17,2,30,0.01,"[[0.7349397590361446, 0.6255319118499756, 237, 235], [0.954356846473029, 0.9531915187835693, 472, 235], [0.9217391304347826, 0.9234042763710022, 707, 235], [0.9375000000000001, 0.9234042763710022, 942, 235], [0.9649122807017545, 0.9659574627876282, 1177, 235]]",0.9026896033291422,0.8782978892326355
18,2,50,0.001,"[[0.7228915662650602, 0.6085106134414673, 237, 235], [0.8977777777777779, 0.9021276831626892, 472, 235], [0.780952380952381, 0.7063829898834229, 707, 235], [0.8071216617210683, 0.7234042286872864, 942, 235], [0.9098039215686274, 0.9021276831626892, 1177, 235]]",0.8237094616569829,0.768510639667511
19,2,50,0.005,"[[0.6991404011461317, 0.5531914830207825, 237, 235], [0.8787878787878788, 0.8638297915458679, 472, 235], [0.839622641509434, 0.8553191423416138, 707, 235], [0.9096989966555183, 0.8851063847541809, 942, 235], [0.9586776859504132, 0.957446813583374, 1177, 235]]",0.8571855208098752,0.8229787230491639
20,2,50,0.01,"[[0.8148148148148149, 0.8085106611251831, 237, 235], [0.9321266968325792, 0.936170220375061, 472, 235], [0.7784810126582279, 0.7021276354789734, 707, 235], [0.9640287769784172, 0.957446813583374, 942, 235], [0.9702127659574468, 0.9702127575874329, 1177, 235]]",0.8919328134482971,0.8748936176300048
21,2,70,0.001,"[[0.7072463768115942, 0.5702127814292908, 237, 235], [0.8787878787878788, 0.8638297915458679, 472, 235], [0.8065573770491804, 0.7489361763000488, 707, 235], [0.852664576802508, 0.800000011920929, 942, 235], [0.9743589743589743, 0.9744681119918823, 1177, 235]]",0.8439230367620271,0.7914893746376037
22,2,70,0.005,"[[0.763157894736842, 0.693617045879364, 237, 235], [0.8796992481203008, 0.8638297915458679, 472, 235], [0.780952380952381, 0.7063829898834229, 707, 235], [0.9577464788732395, 0.9489361643791199, 942, 235], [0.8857142857142858, 0.8978723287582397, 1177, 235]]",0.8534540576794098,0.8221276640892029
23,2,70,0.01,"[[0.731958762886598, 0.778723418712616, 237, 235], [0.888888888888889, 0.8765957355499268, 472, 235], [0.7821782178217822, 0.8127659559249878, 707, 235], [0.9432624113475178, 0.9319148659706116, 942, 235], [0.8602941176470589, 0.8382978439331055, 1177, 235]]",0.8413164797183692,0.8476595640182495
24,3,10,0.001,"[[0.7011494252873562, 0.5574468374252319, 237, 235], [0.883720930232558, 0.8936170339584351, 472, 235], [0.9426229508196721, 0.9404255151748657, 707, 235], [0.943661971830986, 0.9319148659706116, 942, 235], [0.9392712550607288, 0.936170220375061, 1177, 235]]",0.8820853066462602,0.851914894580841
25,3,10,0.005,"[[0.7176470588235294, 0.5914893746376038, 237, 235], [0.9027237354085603, 0.8936170339584351, 472, 235], [0.7881773399014779, 0.8170212507247925, 707, 235], [0.9215017064846417, 0.9021276831626892, 942, 235], [0.9649122807017545, 0.9659574627876282, 1177, 235]]",0.8589924242639928,0.8340425610542297
26,3,10,0.01,"[[0.7194244604316549, 0.6680850982666016, 237, 235], [0.943231441048035, 0.9446808695793152, 472, 235], [0.6333333333333334, 0.7191489338874817, 707, 235], [0.8690095846645367, 0.8255318999290466, 942, 235], [0.9140624999999999, 0.9063829779624939, 1177, 235]]",0.8158122638955121,0.8127659559249878
27,3,30,0.001,"[[0.7011494252873562, 0.5574468374252319, 237, 235], [0.8957528957528959, 0.8851063847541809, 472, 235], [0.7941176470588235, 0.8212766051292419, 707, 235], [0.8318042813455658, 0.7659574747085571, 942, 235], [0.9074074074074074, 0.914893627166748, 1177, 235]]",0.8260463313704097,0.788936185836792
28,3,30,0.005,"[[0.7093023255813954, 0.5744680762290955, 237, 235], [0.9411764705882353, 0.9446808695793152, 472, 235], [0.9482071713147411, 0.9446808695793152, 707, 235], [0.9379310344827586, 0.9234042763710022, 942, 235], [0.9363636363636364, 0.9404255151748657, 1177, 235]]",0.8945961276661534,0.8655319213867188
29,3,30,0.01,"[[0.7648902821316614, 0.6808510422706604, 237, 235], [0.8543689320388349, 0.8723404407501221, 472, 235], [0.8310810810810811, 0.7872340679168701, 707, 235], [0.9461538461538461, 0.9404255151748657, 942, 235], [0.9586776859504132, 0.957446813583374, 1177, 235]]",0.8710343654711675,0.8476595759391785
30,3,50,0.001,"[[0.7052023121387282, 0.5659574270248413, 237, 235], [0.927038626609442, 0.9276595711708069, 472, 235], [0.9097744360902256, 0.8978723287582397, 707, 235], [0.8831168831168831, 0.8468084931373596, 942, 235], [0.9387755102040816, 0.936170220375061, 1177, 235]]",0.872781553631872,0.8348936080932617
31,3,50,0.005,"[[0.7790262172284644, 0.7489361763000488, 237, 235], [0.9661016949152542, 0.9659574627876282, 472, 235], [0.8013029315960912, 0.7404255270957947, 707, 235], [0.9212598425196851, 0.914893627166748, 942, 235], [0.9411764705882353, 0.9446808695793152, 1177, 235]]",0.881773431369546,0.862978732585907
32,3,50,0.01,"[[0.7416413373860182, 0.6382978558540344, 237, 235], [0.8653846153846154, 0.8808510899543762, 472, 235], [0.6914893617021277, 0.7531914710998535, 707, 235], [0.8583333333333334, 0.8553191423416138, 942, 235], [0.5375, 0.6851063966751099, 1177, 235]]",0.738869729561219,0.7625531911849975
33,3,70,0.001,"[[0.7113702623906706, 0.5787234306335449, 237, 235], [0.8571428571428571, 0.8340425491333008, 472, 235], [0.6408839779005524, 0.7234042286872864, 707, 235], [0.7976539589442815, 0.7063829898834229, 942, 235], [0.951111111111111, 0.9531915187835693, 1177, 235]]",0.7916324334978946,0.7591489434242249
